alphaCode,commonName,scientificName,ebirdCode
RTJA,Rufous-tailed Jacamar,Galbula ruficauda,rutjac1
RTRO,Rufous-tailed Robin,Larvivora sibilans,rutrob1
RTSO,Rufous-throated Solitaire,Myadestes genibarbis,rutsol1
RVCH,Rufous-vented Chachalaca,Ortalis ruficauda,ruvcha1
RVGC,Rufous-vented Ground-Cuckoo,Neomorphus geoffroyi,rvgcuc1
RWSP,Rufous-winged Sparrow,Peucaea carpalis,ruwspa
RWTA,Rufous-winged Tanager,Tangara lavinia,ruwtan1
RWWO,Rufous-winged Woodpecker,Piculus simplex,ruwwoo1
RUAN,Russet Antshrike,Thamnistes anabatinus,rusant1
RUNT,Russet Nightingale-Thrush,Catharus occidentalis,runthr1
RCMO,Russet-crowned Motmot,Momotus mexicanus,rucmot1
RCQD,Russet-crowned Quail-Dove,Zentrygon goldmani,rcqdov1
RSWR,Russet-naped Wood-Rail,Aramides albiventris,runwor1
RNAW,Russet-naped Wren,Campylorhynchus humilis,runwre3
RWSC,Russet-winged Schiffornis,Schiffornis stenorhyncha,thlsch4
RUBU,Rustic Bunting,Emberiza rustica,rusbun
RUBL,Rusty Blackbird,Euphagus carolinus,rusbla
RUSP,Rusty Sparrow,Aimophila rufescens,russpa1
RCGS,Rusty-crowned Ground-Sparrow,Melozone kieneri,rcgspa1
RMFL,Rusty-margined Flycatcher,Myiozetetes cayanensis,rumfly1
RWAN,Rusty-winged Antwren,Herpsilochmus frater,ruwant3
SAGU,Sabine's Gull,Xema sabini,sabgul
SADF,Sad Flycatcher,Myiarchus barbirostris,sadfly1
SAFI,Saffron Finch,Sicalis flaveola,saffin
SHPA,Saffron-headed Parrot,Pyrilia pyrilia,sahpar1
SATH,Sage Thrasher,Oreoscoptes montanus,sagthr
SABS,Sagebrush Sparrow,Artemisiospiza nevadensis,sagspa1
SALS,Saltmarsh Sparrow,Ammospiza caudacuta,sstspa
SAAL,Salvin's Albatross,Thalassarche salvini,salalb1
SAVI,San Andres Vireo,Vireo caribaeus,stavir1
SBJA,San Blas Jay,Cyanocorax sanblasianus,sabjay
SAND,Sanderling,Calidris alba,sander
SACR,Sandhill Crane,Antigone canadensis,sancra
SATE,Sandwich Tern,Thalasseus sandvicensis,santer1
SAPA,Sapayoa,Sapayoa aenigma,sapayo1
SHTH,Sapphire-throated Hummingbird,Chrysuronia coeruleogularis,sathum1
SASH,Sargasso Shearwater,Puffinus lherminieri,audshe
SAHA,Savanna Hawk,Buteogallus meridionalis,savhaw1
SAVS,Savannah Sparrow,Passerculus sandwichensis,savspa
SAPH,Say's Phoebe,Sayornis saya,saypho
SCPT,Scale-crested Pygmy-Tyrant,Lophotriccus pileatus,scptyr1
SCAA,Scaled Antpitta,Grallaria guatimalensis,scaant1
SCPI,Scaled Pigeon,Patagioenas speciosa,scapig2
SCQU,Scaled Quail,Callipepla squamata,scaqua
SBRH,Scaly-breasted Hummingbird,Phaeochroa cuvierii,scbhum1
SBMU,Scaly-breasted Munia,Lonchura punctulata,nutman
SBTH,Scaly-breasted Thrasher,Allenia fusca,scbthr
SCBW,Scaly-breasted Wren,Microcerculus marginatus,scbwre1
SNPI,Scaly-naped Pigeon,Patagioenas squamosa,scnpig1
STFG,Scaly-throated Foliage-gleaner,Anabacerthia variegaticeps,stfgle1
STLE,Scaly-throated Leaftosser,Sclerurus guatemalensis,sctlea1
SCIB,Scarlet Ibis,Eudocimus ruber,scaibi
SCMA,Scarlet Macaw,Ara macao,scamac1
SCTA,Scarlet Tanager,Piranga olivacea,scatan
SBTA,Scarlet-browed Tanager,Heterospingus xanthopygius,scbtan2
SRCA,Scarlet-rumped Cacique,Cacicus uropygialis,scrcac1
SCRT,Scarlet-rumped Tanager,Ramphocelus passerinii,y00599
STDA,Scarlet-thighed Dacnis,Dacnis venusta,sctdac1
SCHU,Scintillant Hummingbird,Selasphorus scintilla,scihum1
STFL,Scissor-tailed Flycatcher,Tyrannus forficatus,sctfly
SCSH,Scopoli's Shearwater,Calonectris diomedea,scoshe1
SCOR,Scott's Oriole,Icterus parisorum,scoori
SCMU,Scripps's Murrelet,Synthliboramphus scrippsi,xanmur2
SEUP,Scrub Euphonia,Euphonia affinis,screup1
SCRG,Scrub Greenlet,Hylophilus flavipes,scrgre1
SESP,Seaside Sparrow,Ammospiza maritima,seaspa
SEWA,Sedge Warbler,Acrocephalus schoenobaenus,sedwar1
SEWR,Sedge Wren,Cistothorus stellaris,sedwre1
SEPL,Semipalmated Plover,Charadrius semipalmatus,semplo
SESA,Semipalmated Sandpiper,Calidris pusilla,semsan
SEHA,Semiplumbeous Hawk,Leucopternis semiplumbeus,semhaw
SEMW,Semper's Warbler,Leucopeza semperi,semwar1
SECF,Sepia-capped Flycatcher,Leptopogon amaurocephalus,secfly1
SSHA,Sharp-shinned Hawk,Accipiter striatus,shshaw
STGR,Sharp-tailed Grouse,Tympanuchus phasianellus,shtgro
SPTS,Sharp-tailed Sandpiper,Calidris acuminata,shtsan
STST,Sharp-tailed Streamcreeper,Lochmias nematura,shtstr1
SHAR,Sharpbill,Oxyruncus cristatus,sharpb1
SHHO,Shining Honeycreeper,Cyanerpes lucidus,shihon1
SHCO,Shiny Cowbird,Molothrus bonariensis,shicow
SBDO,Short-billed Dowitcher,Limnodromus griseus,shbdow
SBIG,Short-billed Gull,Larus brachyrhynchus,mewgul2
SBPI,Short-billed Pigeon,Patagioenas nigrirostris,shbpig
SCCO,Short-crested Coquette,Lophornis brachylophus,shccoq
SEOW,Short-eared Owl,Asio flammeus,sheowl
STAL,Short-tailed Albatross,Phoebastria albatrus,shtalb
STHA,Short-tailed Hawk,Buteo brachyurus,shthaw
SHTN,Short-tailed Nighthawk,Lurocalis semitorquatus,shtnig1
STTS,Short-tailed Shearwater,Ardenna tenuirostris,shtshe
STSW,Short-tailed Swift,Chaetura brachyura,shtswi1
SIAC,Siberian Accentor,Prunella montanella,sibacc
SBRO,Siberian Blue Robin,Larvivora cyane,sibrob
SIHM,Siberian House-Martin,Delichon lagopodum,comhom2
SIPI,Siberian Pipit,Anthus japonicus,sibpip1
SIRU,Siberian Rubythroat,Calliope calliope,sibrub
SISP,Siberian Sand-Plover,Anarhynchus mongolus,lessap2
SISW,Sick's Swift,Chaetura meridionalis,sicswi1
SMSP,Sierra Madre Sparrow,Xenospiza baileyi,simspa1
STTA,Silver-throated Tanager,Tangara icterocephala,sittan1
SFTA,Silvery-fronted Tapaculo,Scytalopus argentifrons,siftap1
STHJ,Silvery-throated Jay,Cyanolyca argentigula,sitjay1
SICR,Sinaloa Crow,Corvus sinaloae,sincro1
SIMA,Sinaloa Martin,Progne sinaloae,sinmar1
SIWR,Sinaloa Wren,Thryophilus sinaloa,sinwre1
SIQU,Singing Quail,Dactylortyx thoracicus,sinqua1
SCOG,Slate-colored Grosbeak,Saltator grossus,slcgro1
SCSE,Slate-colored Seedeater,Sporophila schistacea,slcsee1
SCSO,Slate-colored Solitaire,Myadestes unicolor,slcsol1
SHTF,Slate-headed Tody-Flycatcher,Poecilotriccus sylvia,shtfly1
STGN,Slate-throated Gnatcatcher,Polioptila schistaceigula,sltgna1
STRE,Slate-throated Redstart,Myioborus miniatus,sltred
SLAN,Slaty Antwren,Myrmotherula schisticolor,slaant1
SLFI,Slaty Finch,Haplospiza rustica,slafin1
SLFL,Slaty Flowerpiercer,Diglossa plumbea,slaflo1
SLSP,Slaty Spinetail,Synallaxis brachyura,slaspi1
SLVI,Slaty Vireo,Vireo brevipennis,slavir1
SBFF,Slaty-backed Forest-Falcon,Micrastur mirandollei,sbffal1
SBAG,Slaty-backed Gull,Larus schistisagus,slbgul
SBNT,Slaty-backed Nightingale-Thrush,Catharus fuscater,sbnthr1
SBTI,Slaty-breasted Tinamou,Crypturellus boucardi,slbtin1
SLCF,Slaty-capped Flycatcher,Leptopogon superciliaris,slcfly1
STTR,Slaty-tailed Trogon,Trogon massena,slttro1
SWFG,Slaty-winged Foliage-gleaner,Neophilydor fuscipenne,swfgle
SLSH,Slender Sheartail,Doricha enicura,sleshe1
SBCU,Slender-billed Curlew,Numenius tenuirostris,slbcur
SBGR,Slender-billed Grackle,Quiscalus palustris,slbgra1
SBKI,Slender-billed Kite,Helicolestes hamatus,slbkit1
SBEL,Small-billed Elaenia,Elaenia parvirostris,smbela1
SMEW,Smew,Mergellus albellus,smew
SMLO,Smith's Longspur,Calcarius pictus,smilon
SMBW,Smoky-brown Woodpecker,Leuconotopicus fumigatus,smbwoo1
SBAN,Smooth-billed Ani,Crotophaga ani,smbani
SNKI,Snail Kite,Rostrhamus sociabilis,snakit
SNBU,Snow Bunting,Plectrophenax nivalis,snobun
SNGO,Snow Goose,Anser caerulescens,snogoo
SNOC,Snowcap,Microchera albocoronata,snowca1
SNCO,Snowy Cotinga,Carpodectes nitidus,snocot1
SNEG,Snowy Egret,Egretta thula,snoegr
SNOW,Snowy Owl,Bubo scandiacus,snoowl1
SNPL,Snowy Plover,Anarhynchus nivosus,snoplo5
SBEH,Snowy-bellied Hummingbird,Saucerottia edward,snbhum1
SOFL,Social Flycatcher,Myiozetetes similis,socfly1
SODO,Socorro Dove,Zenaida graysoni,socdov1
SOMO,Socorro Mockingbird,Mimus graysoni,socmoc1
SOPA,Socorro Parakeet,Psittacara brevipes,grnpar2
SOCW,Socorro Wren,Troglodytes sissonii,socwre2
SOEA,Solitary Eagle,Buteogallus solitarius,soleag1
SOSA,Solitary Sandpiper,Tringa solitaria,solsan
SOSN,Solitary Snipe,Gallinago solitaria,solsni1
SOSP,Song Sparrow,Melospiza melodia,sonspa
SOTH,Song Thrush,Turdus philomelos,sonthr1
SONW,Song Wren,Cyphorhinus phaeocephalus,sonwre1
SOGR,Sooty Grouse,Dendragapus fuliginosus,soogro1
SOSH,Sooty Shearwater,Ardenna grisea,sooshe
SOTE,Sooty Tern,Onychoprion fuscatus,sooter1
SOOT,Sooty Thrush,Turdus nigrescens,soorob1
SCCH,Sooty-capped Chlorospingus,Chlorospingus pileatus,scbtan1
SFFI,Sooty-faced Finch,Arremon crassirostris,soffin1
SHTY,Sooty-headed Tyrannulet,Phyllomyias griseiceps,sohtyr1
SHEW,Sooty-headed Wren,Pheugopedius spadix,sohwre1
SORA,Sora,Porzana carolina,sora
SPSK,South Polar Skua,Stercorarius maccormicki,sopsku1
SOBT,Southern Beardless-Tyrannulet,Camptostoma obsoletum,sobtyr1
SOBE,Southern Bentbill,Oncostoma olivaceum,souben1
SHOW,Southern House Wren,Troglodytes musculus,houwre4
SOLA,Southern Lapwing,Vanellus chilensis,soulap1
SOMA,Southern Martin,Progne elegans,soumar
SRWS,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,srwswa1
SCHT,Spangle-cheeked Tanager,Tangara dowii,spctan1
SKTH,Sparkling-tailed Hummingbird,Tilmatura dupontii,spthum1
SPMO,Speckled Mourner,Laniocera rufescens,spemou1
SPTA,Speckled Tanager,Ixothraupis guttata,spetan1
SPEI,Spectacled Eider,Somateria fischeri,speeid
SPEO,Spectacled Owl,Pulsatrix perspicillata,speowl1
SPPA,Spectacled Parrotlet,Forpus conspicillatus,spepar1
SPTH,Spectacled Thrush,Turdus nudigenis,baerob1
SFAN,Spiny-faced Antshrike,Xenornis setifrons,spfant1
SBSA,Spoon-billed Sandpiper,Calidris pygmaea,spbsan1
SBBO,Spot-bellied Bobwhite,Colinus leucopogon,crebob2
SBOR,Spot-breasted Oriole,Icterus pectoralis,spbori
SBWP,Spot-breasted Woodpecker,Colaptes punctigula,spbwoo1
SOBW,Spot-breasted Wren,Pheugopedius maculipectus,spbwre1
SPCA,Spot-crowned Antvireo,Dysithamnus puncticeps,spcant1
SCBA,Spot-crowned Barbet,Capito maculicoronatus,spcbar1
SPCE,Spot-crowned Euphonia,Euphonia imitans,spceup1
SCRW,Spot-crowned Woodcreeper,Lepidocolaptes affinis,spcwoo1
SFSW,Spot-fronted Swift,Cypseloides cherriei,spfswi1
SPTN,Spot-tailed Nightjar,Antiurus maculicaudus,sptnig1
SPAN,Spotted Antbird,Hylophylax naevioides,spoant1
SPBA,Spotted Barbtail,Premnoplex brunnescens,spobar1
SPCR,Spotted Crake,Porzana porzana,spocra1
SPDO,Spotted Dove,Spilopelia chinensis,spodov
SPFL,Spotted Flycatcher,Muscicapa striata,spofly1
SPOW,Spotted Owl,Strix occidentalis,spoowl
SPRA,Spotted Rail,Pardirallus maculatus,sporai
SPRE,Spotted Redshank,Tringa erythropus,spored
SPSA,Spotted Sandpiper,Actitis macularius,sposan
SPTO,Spotted Towhee,Pipilo maculatus,spotow
SPWQ,Spotted Wood-Quail,Odontophorus guttatus,spwqua1
SPWO,Spotted Woodcreeper,Xiphorhynchus erythropygius,spowoo1
SPWR,Spotted Wren,Campylorhynchus gularis,spowre1
SPPI,Sprague's Pipit,Anthus spragueii,sprpip
SPGR,Spruce Grouse,Canachites canadensis,sprgro
SKBU,St. Kitts Bullfinch,Melopyrrha grandis,purbul3
SLAM,St. Lucia Amazon,Amazona versicolor,stlpar1
SLBF,St. Lucia Black Finch,Melanospiza richardsoni,slbfin1
SLOR,St. Lucia Oriole,Icterus laudabilis,stlori1
SLTH,St. Lucia Thrasher,Ramphocinclus sanctaeluciae,whbthr4
SLWA,St. Lucia Warbler,Setophaga delicata,stlwar
SLWR,St. Lucia Wren,Troglodytes mesoleucus,houwre8
SVAM,St. Vincent Amazon,Amazona guildingii,stvpar1
SVWR,St. Vincent Wren,Troglodytes musicus,houwre10
STPE,Stejneger's Petrel,Pterodroma longirostris,stepet
STSC,Stejneger's Scoter,Melanitta stejnegeri,whwsco1
STEI,Steller's Eider,Polysticta stelleri,steeid
STJA,Steller's Jay,Cyanocitta stelleri,stejay
STSE,Steller's Sea-Eagle,Haliaeetus pelagicus,stseag
STSA,Stilt Sandpiper,Calidris himantopus,stisan
STOF,Stolid Flycatcher,Myiarchus stolidus,stofly1
SGBW,Straight-billed Woodcreeper,Dendroplex picus,stbwoo2
SBAO,Streak-backed Oriole,Icterus pustulatus,stbori
SBTR,Streak-breasted Treehunter,Thripadectes rufobrunneus,stbtre1
SCHA,Streak-chested Antpitta,Hylopezus perspicillatus,stcant2
STCA,Streak-crowned Antvireo,Dysithamnus striaticeps,stcant1
SHWO,Streak-headed Woodcreeper,Lepidocolaptes souleyetii,sthwoo1
STRF,Streaked Flycatcher,Myiodynastes maculatus,strfly1
SSAL,Streaked Saltator,Saltator striatipectus,strsal1
STRS,Streaked Shearwater,Calonectris leucomelas,strshe
STXE,Streaked Xenops,Xenops rutilans,strxen1
STRH,Striated Heron,Butorides striata,strher2
STCW,Strickland's Woodpecker,Leuconotopicus stricklandi,strwoo
SIBW,Stripe-breasted Wren,Cantorchilus thoracicus,stbwre1
SCHW,Stripe-cheeked Woodpecker,Piculus callopterus,stcwoo1
SHSP,Stripe-headed Sparrow,Peucaea ruficauda,sthspa1
STHM,Stripe-tailed Hummingbird,Eupherusa eximia,stthum1
STHR,Stripe-throated Hermit,Phaethornis striigularis,stther2
STWR,Stripe-throated Wren,Cantorchilus leucopogon,sttwre1
STCU,Striped Cuckoo,Tapera naevia,strcuc1
STRO,Striped Owl,Asio clamator,strowl1
SSPA,Striped Sparrow,Oriturus superciliosus,strspa1
SNBW,Strong-billed Woodcreeper,Xiphocolaptes promeropirhynchus,stbwoo1
SBTS,Stub-tailed Spadebill,Platyrinchus cancrominus,sttspa1
STOW,Stygian Owl,Asio stygius,styowl1
SBFL,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,subfly
SRFL,Sulphur-rumped Flycatcher,Myiobius sulphureipygius,surfly1
SURT,Sulphur-rumped Tanager,Heterospingus rubrifrons,surtan1
SWPA,Sulphur-winged Parakeet,Pyrrhura hoffmanni,suwpar1
SUWR,Sumichrast's Wren,Hylorchilus sumichrasti,sumwre1
SUTA,Summer Tanager,Piranga rubra,sumtan
SUNB,Sunbittern,Eurypyga helias,sunbit1
SUNG,Sungrebe,Heliornis fulica,sungre1
SUSC,Surf Scoter,Melanitta perspicillata,sursco
SURF,Surfbird,Calidris virgata,surfbi
SWHA,Swainson's Hawk,Buteo swainsoni,swahaw
SWTH,Swainson's Thrush,Catharus ustulatus,swathr
SWWA,Swainson's Warbler,Limnothlypis swainsonii,swawar
SWTA,Swallow Tanager,Tersina viridis,swatan1
STGU,Swallow-tailed Gull,Creagrus furcatus,swtgul1
STKI,Swallow-tailed Kite,Elanoides forficatus,swtkit
SWSP,Swamp Sparrow,Melospiza georgiana,swaspa
SSTP,Swinhoe's Storm-Petrel,Hydrobates monorhis,swspet
TACH,Tacarcuna Chlorospingus,Chlorospingus tacarcunae,tabtan1
TATA,Tacarcuna Tapaculo,Scytalopus panamensis,tactap1
TAWA,Tacarcuna Warbler,Basileuterus tacarcunae,thswar9
TAWQ,Tacarcuna Wood-Quail,Odontophorus dialeucos,tawqua1
TAPE,Tahiti Petrel,Pseudobulweria rostrata,tahpet1
TABG,Taiga Bean-Goose,Anser fabalis,taibeg1
TAFL,Taiga Flycatcher,Ficedula albicilla,taifly1
TAHU,Talamanca Hummingbird,Eugenes spectabilis,maghum2
TACR,Tamaulipas Crow,Corvus imparatus,tamcro
TAPO,Tamaulipas Pygmy-Owl,Glaucidium sanchezi,tapowl1
TBFL,Tawny-breasted Flycatcher,Myiobius villosus,tabfly1
TCEU,Tawny-capped Euphonia,Euphonia anneae,taceup1
TCFL,Tawny-chested Flycatcher,Aphanotriccus capitalis,tacfly1
TCNI,Tawny-collared Nightjar,Antrostomus salvini,tacnig1
TCTA,Tawny-crested Tanager,Tachyphonus delatrii,tactan1
TFGN,Tawny-faced Gnatwren,Microbates cinereiventris,tafgna1
TFQU,Tawny-faced Quail,Rhynchortyx cinctus,tafqua1
TSBL,Tawny-shouldered Blackbird,Agelaius humeralis,tasbla
TWWO,Tawny-winged Woodcreeper,Dendrocincla anabatina,tawwoo1
TEST,Temminck's Stint,Calidris temminckii,temsti
TEWA,Tennessee Warbler,Leiothlypis peregrina,tenwar
TESA,Terek Sandpiper,Xenus cinereus,tersan
TBEU,Thick-billed Euphonia,Euphonia laniirostris,thbeup1
TBKI,Thick-billed Kingbird,Tyrannus crassirostris,thbkin
TBLO,Thick-billed Longspur,Rhynchophanes mccownii,mcclon
TBMU,Thick-billed Murre,Uria lomvia,thbmur
TBPA,Thick-billed Parrot,Rhynchopsitta pachyrhyncha,thbpar
TBSF,Thick-billed Seed-Finch,Sporophila funerea,tbsfin1
TBVI,Thick-billed Vireo,Vireo crassirostris,thbvir
TBWA,Thick-billed Warbler,Arundinax aedon,thbwar1
THAN,Thicket Antpitta,Myrmothera dives,thiant1
THTI,Thicket Tinamou,Crypturellus cinnamomeus,thitin1
TWBE,Three-wattled Bellbird,Procnias tricarunculatus,thwbel
TIWR,Timberline Wren,Thryorchilus browni,timwre1
TIHA,Tiny Hawk,Microspizias superciliosus,tinhaw1
TOMO,Tody Motmot,Hylomanes momotula,todmot1
TBHU,Tooth-billed Hummingbird,Androdon aequatorialis,tobhum1
TOTY,Torrent Tyrannulet,Serpophaga cinerea,tortyr1
TOSH,Townsend's Shearwater,Puffinus auricularis,towshe1
TOSO,Townsend's Solitaire,Myadestes townsendi,towsol
TOSP,Townsend's Storm-Petrel,Hydrobates socorroensis,leastp5
TOWA,Townsend's Warbler,Setophaga townsendi,towwar
TRJA,Transvolcanic Jay,Aphelocoma ultramarina,mexjay3
TRPI,Tree Pipit,Anthus trivialis,trepip
TRES,Tree Swallow,Tachycineta bicolor,treswa
TMHU,Tres Marias Hummingbird,Cynanthus lawrencei,brbhum3
TRBL,Tricolored Blackbird,Agelaius tricolor,tribla
TRHE,Tricolored Heron,Egretta tricolor,triher
TRMU,Tricolored Munia,Lonchura malacca,trimun
TRPE,Trindade Petrel,Pterodroma arminjoniana,tripet1
TRSP,Tristram's Storm-Petrel,Hydrobates tristrami,trspet
TRKI,Tropical Kingbird,Tyrannus melancholicus,trokin
TRMO,Tropical Mockingbird,Mimus gilvus,tromoc
TRPA,Tropical Parula,Setophaga pitiayumi,tropar
TRSO,Tropical Screech-Owl,Megascops choliba,trsowl
TRUS,Trumpeter Swan,Cygnus buccinator,truswa
TUDU,Tufted Duck,Aythya fuligula,tufduc
TUFL,Tufted Flycatcher,Mitrephanes phaeocercus,tuffly
TUJA,Tufted Jay,Cyanocorax dickeyi,tufjay1
TUPU,Tufted Puffin,Fratercula cirrhata,tufpuf
TUTI,Tufted Titmouse,Baeolophus bicolor,tuftit
TUBG,Tundra Bean-Goose,Anser serrirostris,tunbeg1
TUSW,Tundra Swan,Cygnus columbianus,tunswa
TUVU,Turkey Vulture,Cathartes aura,turvul
TUCO,Turquoise Cotinga,Cotinga ridgwayi,turcot1
TBMO,Turquoise-browed Motmot,Eumomota superciliosa,tubmot1
TCHU,Turquoise-crowned Hummingbird,Cynanthus doubledayi,brbhum2
TUQD,Tuxtla Quail-Dove,Zentrygon carrikeri,tuqdov1
UAIH,Ula-ai-hawane,Ciridops anna,ulahaw
UNJA,Unicolored Jay,Aphelocoma unicolor,unijay1
UNIC,Uniform Crake,Amaurolimnas concolor,unicra1
USWO,Unspotted Saw-whet Owl,Aegolius ridgwayi,uswowl1
UPSA,Upland Sandpiper,Bartramia longicauda,uplsan
VASE,Variable Seedeater,Sporophila corvina,varsee3
VABU,Varied Bunting,Passerina versicolor,varbun
VASO,Varied Solitaire,Myadestes coloratus,varsol1
VATH,Varied Thrush,Ixoreus naevius,varthr
VAFL,Variegated Flycatcher,Empidonomus varius,varfly
VASW,Vaux's Swift,Chaetura vauxi,vauswi
VEER,Veery,Catharus fuscescens,veery
VEGU,Vega Gull,Larus vegae,veggul1
VESC,Velvet Scoter,Melanitta fusca,whwsco3
VELM,Velvety Manakin,Lepidothrix velutina,bucman1
VETR,Venezuelan Troupial,Icterus icterus,ventro1
VEWR,Veracruz Wren,Campylorhynchus rufinucha,runwre2
VERM,Veraguan Mango,Anthracothorax veraguensis,verman1
VERD,Verdin,Auriparus flaviceps,verdin
VEFL,Vermilion Flycatcher,Pyrocephalus rubinus,verfly
VEHU,Vervain Hummingbird,Mellisuga minima,verhum1
VESP,Vesper Sparrow,Pooecetes gramineus,vesspa
VIWE,Village Weaver,Ploceus cucullatus,vilwea1
VIQD,Violaceous Quail-Dove,Geotrygon violacea,viqdov1
VISA,Violet Sabrewing,Campylopterus hemileucurus,viosab1
VBHU,Violet-bellied Hummingbird,Chlorestes julie,vibhum1
VCAH,Violet-capped Hummingbird,Goldmania violiceps,vichum1
VCHU,Violet-crowned Hummingbird,Ramosomyia violiceps,vichum
VGSW,Violet-green Swallow,Tachycineta thalassina,vigswa
VHHU,Violet-headed Hummingbird,Klais guimeti,vihhum1
VIRA,Virginia Rail,Rallus limicola,virrai
VIWA,Virginia's Warbler,Leiothlypis virginiae,virwar
VIDA,Viridian Dacnis,Dacnis viguieri,virdac1
VITW,Vitelline Warbler,Setophaga vitellina,vitwar1
VOHU,Volcano Hummingbird,Selasphorus flammula,volhum1
VOJU,Volcano Junco,Junco vulcani,voljun1
WATA,Wandering Tattler,Tringa incana,wantat1
WAWE,Warbling White-eye,Zosterops japonicus,warwhe1
WAJA,Wattled Jacana,Jacana jacana,watjac1
WAVA,Waved Albatross,Phoebastria irrorata,wavalb
WBWO,Wedge-billed Woodcreeper,Glyphorynchus spirurus,webwoo1
WRSP,Wedge-rumped Storm-Petrel,Hydrobates tethys,wrspet
WTGF,Wedge-tailed Grass-Finch,Emberizoides herbicola,wtgfin1
WTSA,Wedge-tailed Sabrewing,Pampa curvipennis,wetsab1
WTSH,Wedge-tailed Shearwater,Ardenna pacifica,wetshe
WIWD,West Indian Whistling-Duck,Dendrocygna arborea,wiwduc1
WIWO,West Indian Woodpecker,Melanerpes superciliaris,weiwoo1
WMCH,West Mexican Chachalaca,Ortalis poliocephala,wemcha1
WMEU,West Mexican Euphonia,Euphonia godmani,screup3
WEBL,Western Bluebird,Sialia mexicana,wesblu
WECE,Western Cattle-Egret,Ardea ibis,categr1
WECT,Western Chat-Tanager,Calyptophilus tertius,wectan1
WEFL,Western Flycatcher,Empidonax difficilis,wesfly
WEGR,Western Grebe,Aechmophorus occidentalis,wesgre
WEGU,Western Gull,Larus occidentalis,wesgul
WEHM,Western House-Martin,Delichon urbicum,comhom1
WEKI,Western Kingbird,Tyrannus verticalis,weskin
WMHA,Western Marsh Harrier,Circus aeruginosus,wemhar1
WEME,Western Meadowlark,Sturnella neglecta,wesmea
WERH,Western Reef-Heron,Egretta gularis,werher
WESA,Western Sandpiper,Calidris mauri,wessan
WESO,Western Screech-Owl,Megascops kennicottii,wesowl1
WESP,Western Spindalis,Spindalis zena,wesspi
WETA,Western Tanager,Piranga ludoviciana,westan
WEWP,Western Wood-Pewee,Contopus sordidulus,wewpew
WHAU,Whiskered Auklet,Aethia pygmaea,whiauk
WHSO,Whiskered Screech-Owl,Megascops trichopsis,whsowl1
WHTE,Whiskered Tern,Chlidonias hybrida,whiter2
WHHE,Whistling Heron,Syrigma sibilatrix,whiher1
WHIW,Whistling Warbler,Catharopeza bishopi,whiwar1
WHHA,White Hawk,Pseudastur albicollis,whihaw1
WHIB,White Ibis,Eudocimus albus,whiibi
WHWA,White Wagtail,Motacilla alba,whiwag
WHTH,White's Thrush,Zoothera aurea,scathr2
WBEA,White-bellied Antbird,Myrmeciza longipes,whbant1
WBCH,White-bellied Chachalaca,Ortalis leucogastra,whbcha1
WBEM,White-bellied Emerald,Chlorestes candida,whbeme1
WBMG,White-bellied Mountain-gem,Lampornis hemileucus,wbmgem1
WBWR,White-bellied Wren,Uropsila leucogastra,whbwre1
WBNU,White-breasted Nuthatch,Sitta carolinensis,whbnut
WBWW,White-breasted Wood-Wren,Henicorhina leucosticta,wbwwre1
WBGN,White-browed Gnatcatcher,Polioptila bilineata,trogna2
WCAL,White-capped Albatross,Thalassarche cauta,whcalb1
WCHP,White-cheeked Pintail,Anas bahamensis,whcpin
WCPE,White-chinned Petrel,Procellaria aequinoctialis,whcpet1
WCHS,White-chinned Swift,Cypseloides cryptus,whcswi1
WCTH,White-chinned Thrush,Turdus aurantius,whcthr1
WCOM,White-collared Manakin,Manacus candei,whcman1
WCSW,White-collared Swift,Streptoprocne zonaris,whcswi
WCCO,White-crested Coquette,Lophornis adorabilis,whccoq1
WCEL,White-crested Elaenia,Elaenia albiceps,whcela1
WCRM,White-crowned Manakin,Pseudopipra pipra,whcman2
WCPA,White-crowned Parrot,Pionus senilis,whcpar
WCPI,White-crowned Pigeon,Patagioenas leucocephala,whcpig2
WCSP,White-crowned Sparrow,Zonotrichia leucophrys,whcspa
WECO,White-eared Conebill,Conirostrum leucogenys,whecon1
WEGS,White-eared Ground-Sparrow,Melozone leucotis,whegrs2
WEHU,White-eared Hummingbird,Basilinna leucotis,whehum
WETH,White-eyed Thrush,Turdus jamaicensis,whethr1
WEVI,White-eyed Vireo,Vireo griseus,whevir
WFGS,White-faced Ground-Sparrow,Melozone biarcuata,pregrs1
WFIB,White-faced Ibis,Plegadis chihi,whfibi
WFAQ,White-faced Quail-Dove,Zentrygon albifacies,wfqdov1
WFSP,White-faced Storm-Petrel,Pelagodroma marina,wfspet
WFWD,White-faced Whistling-Duck,Dendrocygna viduata,wfwduc1
WFLA,White-flanked Antwren,Myrmotherula axillaris,whfant2
WFAM,White-fronted Amazon,Amazona albifrons,whfpar1
WFNU,White-fronted Nunbird,Monasa morphoeus,whfnun1
WFRQ,White-fronted Quail-Dove,Geotrygon leucometopia,wfqdov
WFSW,White-fronted Swift,Cypseloides storeri,whfswi1
WFTY,White-fronted Tyrannulet,Acrochordopus zeledoni,roltyr1
WHWO,White-headed Woodpecker,Leuconotopicus albolarvatus,whhwoo
WHWR,White-headed Wren,Campylorhynchus albobrunneus,whhwre1
