alphaCode,commonName,scientificName,ebirdCode
CHSI,Choco Sirystes,Sirystes albogriseus,siryst3
CHTA,Choco Tapaculo,Scytalopus chocoensis,chotap1
CHTI,Choco Tinamou,Crypturellus kerriae,chotin1
CHSH,Christmas Shearwater,Puffinus nativitatis,chrshe
CWWI,Chuck-will's-widow,Antrostomus carolinensis,chwwid
CHUK,Chukar,Alectoris chukar,chukar
CIRB,Cinereous Becard,Pachyramphus rufus,cinbec2
CIOW,Cinereous Owl,Strix sartorii,barowl13
CIMB,Cinnamon Becard,Pachyramphus cinnamomeus,cinbec1
CIHU,Cinnamon Hummingbird,Amazilia rutila,cinhum1
CITE,Cinnamon Teal,Spatula cyanoptera,cintea
CIWO,Cinnamon Woodpecker,Celeus loricatus,cinwoo1
CBFL,Cinnamon-bellied Flowerpiercer,Diglossa baritula,cibflo1
CIBS,Cinnamon-bellied Saltator,Saltator grandis,grasal2
CRSE,Cinnamon-rumped Seedeater,Sporophila torqueola,whcsee2
CTSP,Cinnamon-tailed Sparrow,Peucaea sumichrasti,citspa1
CITR,Citreoline Trogon,Trogon citreolus,cittro1
CIWA,Citrine Wagtail,Motacilla citreola,citwag
CLRA,Clapper Rail,Rallus crepitans,clarai11
CLWR,Clarion Wren,Troglodytes tanneri,clawre1
CLGR,Clark's Grebe,Aechmophorus clarkii,clagre
CLNU,Clark's Nutcracker,Nucifraga columbiana,clanut
CCSP,Clay-colored Sparrow,Spizella pallida,clcspa
CCTH,Clay-colored Thrush,Turdus grayi,clcrob
CLSW,Cliff Swallow,Petrochelidon pyrrhonota,cliswa
COCT,Cocoa Thrush,Turdus fumigatus,cocthr1
COWO,Cocoa Woodcreeper,Xiphorhynchus susurrans,cocwoo1
COHE,Cocoi Heron,Ardea cocoi,cocher1
COBO,Cocos Booby,Sula brewsteri,cocboo1
COCC,Cocos Cuckoo,Coccyzus ferrugineus,coccuc1
COFI,Cocos Finch,Pinaroloxias inornata,cocfin1
COSP,Coiba Spinetail,Cranioleuca dissita,rubspi5
CPYO,Colima Pygmy-Owl,Glaucidium palmarum,copowl1
COLW,Colima Warbler,Leiothlypis crissalis,colwar
COAR,Collared Aracari,Pteroglossus torquatus,colara2
COFF,Collared Forest-Falcon,Micrastur semitorquatus,coffal1
COPL,Collared Plover,Anarhynchus collaris,colplo1
COPR,Collared Pratincole,Glareola pratincola,colpra
COLR,Collared Redstart,Myioborus torquatus,colred1
COTO,Collared Towhee,Pipilo ocai,coltow1
COTR,Collared Trogon,Trogon collaris,coltro1
COLC,Colombian Crake,Mustelirallus colombianus,colcra2
CODU,Comb Duck,Sarkidiornis sylvicola,comduc3
COBH,Common Black Hawk,Buteogallus anthracinus,comblh1
CCHA,Common Chaffinch,Fringilla coelebs,comcha
CCHI,Common Chiffchaff,Phylloscopus collybita,comchi1
COCL,Common Chlorospingus,Chlorospingus flavopectus,cobtan1
CCRA,Common Crane,Grus grus,comcra
COCU,Common Cuckoo,Cuculus canorus,comcuc
COEI,Common Eider,Somateria mollissima,comeid
COGA,Common Gallinule,Gallinula galeata,comgal1
COGO,Common Goldeneye,Bucephala clangula,comgol
COGR,Common Grackle,Quiscalus quiscula,comgra
COMG,Common Greenshank,Tringa nebularia,comgre
CGDO,Common Ground Dove,Columbina passerina,cogdov
COGU,Common Gull,Larus canus,mewgul
COHO,Common Hoopoe,Upupa epops,hoopoe
COLO,Common Loon,Gavia immer,comloo
COME,Common Merganser,Mergus merganser,commer
COMU,Common Murre,Uria aalge,commur
COMY,Common Myna,Acridotheres tristis,commyn
CONI,Common Nighthawk,Chordeiles minor,comnig
COPA,Common Pauraque,Nyctidromus albicollis,compau
COMP,Common Pochard,Aythya ferina,compoc
COPO,Common Poorwill,Phalaenoptilus nuttallii,compoo
CPOT,Common Potoo,Nyctibius griseus,compot1
CORA,Common Raven,Corvus corax,comrav
CREH,Common Redshank,Tringa totanus,comred1
CRET,Common Redstart,Phoenicurus phoenicurus,comred2
CRPL,Common Ringed Plover,Charadrius hiaticula,corplo
CORO,Common Rosefinch,Carpodacus erythrinus,comros
COSA,Common Sandpiper,Actitis hypoleucos,comsan
COSC,Common Scoter,Melanitta nigra,blksco1
COMS,Common Shelduck,Tadorna tadorna,comshe
COSN,Common Snipe,Gallinago gallinago,comsni
COSW,Common Swift,Apus apus,comswi
COTE,Common Tern,Sterna hirundo,comter
COTF,Common Tody-Flycatcher,Todirostrum cinereum,cotfly1
COMW,Common Waxbill,Estrilda astrild,comwax
COYE,Common Yellowthroat,Geothlypis trichas,comyel
CONW,Connecticut Warbler,Oporornis agilis,conwar
COPE,Cook's Petrel,Pterodroma cookii,coopet
COHA,Cooper's Hawk,Astur cooperii,coohaw
CHEM,Coppery-headed Emerald,Microchera cupreiceps,coheme1
CORC,Corn Crake,Crex crex,corcra
CORS,Cory's Shearwater,Calonectris borealis,corshe1
CRBR,Costa Rican Brushfinch,Arremon costaricensis,sthbrf3
CRPO,Costa Rican Pygmy-Owl,Glaucidium costaricanum,crpowl
CRSW,Costa Rican Swift,Chaetura fumosa,corswi
CRWA,Costa Rican Warbler,Basileuterus melanotis,thswar5
COHU,Costa's Hummingbird,Calypte costae,coshum
COKI,Couch's Kingbird,Tyrannus couchii,coukin
COEM,Cozumel Emerald,Cynanthus forficatus,cozeme1
COZT,Cozumel Thrasher,Toxostoma guttatum,cozthr1
COVI,Cozumel Vireo,Vireo bairdi,cozvir1
COWR,Cozumel Wren,Troglodytes beani,houwre3
CRHA,Crane Hawk,Geranospiza caerulescens,crahaw
CRMU,Craveri's Murrelet,Synthliboramphus craveri,cramur
CCWA,Crescent-chested Warbler,Oreothlypis superciliosa,crcwar
CRAU,Crested Auklet,Aethia cristatella,creauk
CRBO,Crested Bobwhite,Colinus cristatus,crebob1
CRCA,Crested Caracara,Caracara plancus,y00678
CREA,Crested Eagle,Morphnus guianensis,creeag1
CRGU,Crested Guan,Penelope purpurascens,cregua1
CROR,Crested Oropendola,Psarocolius decumanus,creoro1
CROW,Crested Owl,Lophostrix cristata,creowl1
CRQD,Crested Quail-Dove,Geotrygon versicolor,crqdov1
CBTA,Crimson-backed Tanager,Ramphocelus dimidiatus,crbtan1
CBWO,Crimson-bellied Woodpecker,Campephilus haematogaster,crbwoo1
CCGR,Crimson-collared Grosbeak,Periporphyrus celaeno,crcgro
CCTA,Crimson-collared Tanager,Ramphocelus sanguinolentus,crctan1
CCRW,Crimson-crested Woodpecker,Campephilus melanoleucos,crcwoo1
CFPA,Crimson-fronted Parakeet,Psittacara finschi,crfpar
CRTH,Crissal Thrasher,Toxostoma crissale,crithr
CSFL,Crowned Slaty Flycatcher,Empidonomus aurantioatrocristatus,croslf1
CRWO,Crowned Woodnymph,Thalurania colombica,crowoo1
CUAM,Cuban Amazon,Amazona leucocephala,cubpar1
CUBH,Cuban Black Hawk,Buteogallus gundlachii,cubblh1
CUBL,Cuban Blackbird,Ptiloxena atroviolacea,cubbla
CUBU,Cuban Bullfinch,Melopyrrha nigra,cubbul2
CUCR,Cuban Crow,Corvus nasicus,cubcro1
CUEM,Cuban Emerald,Riccordia ricordii,cubeme1
CUGN,Cuban Gnatcatcher,Polioptila lembeyei,cubgna1
CUGR,Cuban Grassquit,Phonipara canora,cubgra
CGWO,Cuban Green Woodpecker,Xiphidiopicus percussus,cugwoo1
CUKI,Cuban Kite,Chondrohierax wilsonii,hobkit2
CUBM,Cuban Macaw,Ara tricolor,cubmac1
CUMA,Cuban Martin,Progne cryptoleuca,cubmar
CUNI,Cuban Nightjar,Antrostomus cubanensis,granig2
CUOR,Cuban Oriole,Icterus melanopsis,graori2
CUPC,Cuban Palm-Crow,Corvus minutus,cupcro1
CUPA,Cuban Parakeet,Psittacara euops,cubpar2
CUPE,Cuban Pewee,Contopus caribaeus,cubpew1
CUPO,Cuban Pygmy-Owl,Glaucidium siju,cupowl1
CUSO,Cuban Solitaire,Myadestes elisabeth,cubsol1
CUTO,Cuban Tody,Todus multicolor,cubtod1
CUTR,Cuban Trogon,Priotelus temnurus,cubtro1
CUVI,Cuban Vireo,Vireo gundlachii,cubvir1
